,스팀베이스,비건뷰티,컨투어
0,66.31578,21.62162,31.94444
1,68.42105,13.51351,25.69444
2,63.15789,0.0,24.30555
3,48.94736,0.0,23.61111
4,63.68421,29.72972,24.30555
5,78.94736,21.62162,21.52777
6,100.0,0.0,34.72222
7,86.31578,27.02702,24.30555
8,58.94736,62.16216,27.77777
9,64.21052,27.02702,19.44444
10,42.63157,0.0,35.41666
11,45.26315,13.51351,24.30555
12,66.8421,78.37837,16.66666
13,66.31578,45.94594,29.86111
14,51.57894,0.0,34.02777
15,67.89473,13.51351,28.47222
16,57.36842,0.0,64.58333
17,47.36842,37.83783,100.0
18,34.73684,64.86486,94.44444
19,72.63157,40.54054,84.02777
20,87.36842,32.43243,78.47222
21,75.26315,21.62162,73.61111
22,52.63157,0.0,69.44444
23,36.31578,13.51351,65.97222
24,21.57894,24.32432,62.5
25,30.52631,27.02702,48.61111
26,41.05263,0.0,47.91666
27,39.47368,35.13513,54.16666
28,57.36842,18.91891,68.05555
29,41.57894,18.91891,62.5
30,32.63157,56.75675,44.44444
31,21.57894,67.56756,50.0
32,28.94736,59.45945,51.38888
33,39.47368,35.13513,39.58333
34,40.52631,18.91891,46.52777
35,42.63157,40.54054,29.16666
36,41.57894,40.54054,43.75
37,33.68421,0.0,40.97222
38,34.73684,21.62162,42.36111
39,29.47368,16.21621,32.63888
40,49.47368,27.02702,52.77777
41,45.78947,100.0,43.05555
42,64.73684,40.54054,46.52777
43,45.78947,43.24324,44.44444
44,40.52631,0.0,39.58333
45,18.94736,0.0,31.25
46,19.47368,35.13513,27.08333
47,62.63157,64.86486,22.22222
48,57.36842,40.54054,34.02777
49,68.94736,16.21621,36.80555
50,54.21052,54.05405,30.55555
51,50.0,16.21621,27.08333
52,43.68421,13.51351,27.77777
53,34.73684,18.91891,20.83333
54,34.21052,37.83783,19.44444
55,36.8421,0.0,47.91666
56,31.05263,16.21621,40.27777
57,33.68421,43.24324,34.02777
58,37.36842,29.72972,35.41666
59,23.68421,0.0,37.5
60,30.0,0.0,20.83333
61,13300,435478,12069
