,풀핏 프로폴리스 시너지 토너,올리고 히알루론산 7멀티 포뮬라 패드,프로 모이스처 크리미 토너,테르물레 클리어 패드,리페어레이션 에센스 토너,레스온스킨 에센스 패드,더 퍼스트 제너츄어 스킨 소프너,카렌듈라 앰플 토너,시카 토너 패드,바이바이 시카토너,하이포알러제닉 모이스처라이징 크림 보습패드,수딩 센서티브 워터,찹쌀 배리어 크림 스킨,비폴렌 리뉴 앰풀 스킨,파하 퍼스트 토너 (각질파토),데일리 필링 수영장 토너,퓨어 토너,원더 세라마이드 모찌 토너,아임 쏘리 포 마이 스킨 릴렉싱 토너,플라본 부스터,아토베리어 365 로션,인텐시브 로션,카밍릴리프 AI 리페어 로션,아토베리어 로션,셋업 에멀전,세라마이드 하이드라 플루이드,크리미 모이스춰라이저 딥 모이스트,밀키 모이스춰라이저 하이드라 밸런싱,수드 대나무 로션,어린쑥 수분진정 플루이드,수딩로션,데일리리페어 모이스처라이저
0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.02439,0.0,0.0,31.25,0.0,0.0,70.81545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.66666,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243,0.0,0.0,0.0,0.0,0.0,44.63519,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
2,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53658,0.0,0.0,0.0,0.0,0.0,60.9442,0.0,0.0,0.0,0.0,0.0,0.0,76.19047,0.0
3,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.07317,0.0,0.0,0.0,0.0,0.0,46.78111,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.17073,0.0,0.0,37.5,0.0,0.0,57.93991,0.0,0.0,0.0,0.0,0.0,0.0,76.19047,71.42857
5,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60975,0.0,0.0,0.0,0.0,0.0,64.37768,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0
6,23.33333,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29268,0.0,0.0,0.0,0.0,0.0,73.81974,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.36585,0.0,0.0,0.0,0.0,0.0,65.66523,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0
8,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.65853,0.0,0.0,0.0,0.0,0.0,80.68669,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243,0.0,0.0,0.0,0.0,0.0,78.96995,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.60975,0.0,0.0,31.25,0.0,0.0,62.23175,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048,0.0,0.0,0.0,0.0,0.0,55.3648,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21951,0.0,0.0,0.0,0.0,0.0,75.10729,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,0.0
13,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.41463,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,38.09523,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.46341,0.0,0.0,31.25,0.0,0.0,72.103,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,0.0,0.0,0.0,0.0,0.0,87.12446,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.26829,0.0,0.0,0.0,0.0,0.0,82.83261,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,0.0
17,0.0,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21951,0.0,0.0,0.0,0.0,0.0,64.37768,0.0,0.0,0.0,0.0,0.0,0.0,76.19047,0.0
18,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.78048,0.0,0.0,50.0,0.0,0.0,50.64377,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,100.0
19,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53658,0.0,0.0,0.0,0.0,0.0,75.10729,0.0,0.0,0.0,0.0,0.0,0.0,23.80952,0.0
20,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.90243,0.0,0.0,0.0,0.0,0.0,75.96566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.46341,0.0,0.0,62.5,0.0,0.0,86.69527,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
22,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.34146,0.0,0.0,43.75,0.0,0.0,59.22746,0.0,0.0,0.0,0.0,0.0,0.0,61.90476,0.0
23,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.85365,0.0,0.0,0.0,0.0,0.0,64.37768,0.0,0.0,0.0,0.0,0.0,0.0,28.57142,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53658,0.0,0.0,0.0,0.0,0.0,60.08583,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.9756,0.0,0.0,31.25,0.0,0.0,63.09012,0.0,0.0,0.0,0.0,0.0,0.0,47.61904,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.04878,0.0,0.0,0.0,0.0,0.0,93.56223,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,29.41176,100.0,0.0,0.0,0.0,0.0,0.0,0.0,46.34146,0.0,0.0,0.0,0.0,0.0,96.9957,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0
28,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.29268,0.0,0.0,0.0,0.0,0.0,84.54935,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,71.42857
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.05882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,75.96566,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0
30,23.33333,0.0,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21951,0.0,0.0,0.0,0.0,0.0,84.97854,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,0.0
