,명의본초앰플,굳세라 수퍼 세라마이드 크림 인 세럼,유쓰 크리에이터 에이지 넉다운 워터 에센스,이드라 뷰티 마이크로 버블 쎄럼,다이브인 저분자 히알루론산 세럼,타임 레볼루션 나이트 리페어 프로바이오 보랏빛 앰플,다홍매실 비움 초,맑은 어성초 진정 에센스,비폴렌 리뉴 앰풀러,로즈허브 퍼펙트 빌드 업 세럼,로열허니 프로폴리스 인리치 에센스,레드 프로폴리스 트리플 앰플,프로 히알샷 물광 앰플,비타씨플러스 잡티씨 탄력앰플,유쓰 크리에이터 에이지 넉다운 밤,이모르뗄 오버나이트 리셋 오일 인 세럼,히아루론산 워터 에센스,원더 블랙라이스 히알루로닉 에센스,아쿠아타이드 리서페이스 세럼,어드밴스드 나이트 리페어 인텐스 리셋 컨센트레이트,인텐시브 오인트 크림,마데카크림 파워 부스팅 포뮬러,수퍼 아쿠아 울트라 히알론 크림,아토베리어 365 크림,슈퍼바이탈 크림 리치,하이드라V 모이스처 크림,리바이탈라이징 수프림+ 나이트 인텐시브 크림,우레아 리페어 크림,듀얼 블루밍 캡슐 앰플 & 하이드라 바이탈라이징 크림,셋업 크림,에이지리스 리얼 아이크림 포 페이스,어린쑥 수분진정 크림,플라본 인텐시브 크림,어드밴스드 시카 수분 크림,하이포알러제닉 모이스처라이징 밤 크림,필라그린 배리어 밤,필터크림,더마 플랜 울트라 밤 크림,마유 크림 엑스트라 골든 컴플렉스
0,70.17543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.58823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.68965,0.0,0.0,0.0,0.0,4.46428,0.0,0.0
1,87.71929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.56521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,45.45454,0.0,0.0,63.63636,17.24137,0.0,0.0,0.0,0.0,6.25,0.0,0.0
2,77.19298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.86956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176,0.0,58.82352,0.0,0.0,0.0,0.0,0.0,0.0,63.63636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.70588,0.0,38.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,77.19298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.81818,0.0,0.0,0.0,0.0,0.0,4.46428,0.0,0.0
5,61.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.23529,33.33333,0.0,0.0,0.0,0.0,0.0,54.54545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,56.14035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.52941,0.0,0.0,0.0,81.81818,0.0,0.0,36.36363,0.0,0.0,0.0,0.0,0.0,8.03571,0.0,0.0
7,66.66666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333,0.0,0.0,81.81818,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,87.71929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
9,52.63157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35714,0.0,71.42857
10,78.94736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,15.21739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33333,0.0,0.0,47.05882,0.0,26.47058,0.0,0.0,0.0,100.0,0.0,100.0,31.81818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,47.36842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.60869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.29411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,71.42857
12,56.14035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.34782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33333,0.0,0.0,0.0,0.0,32.35294,0.0,0.0,0.0,0.0,0.0,0.0,45.45454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,19.29824,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.21739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.66666,0.0,0.0,0.0,0.0,38.23529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,31.57894,0.0,0.0,0.0,0.0,66.66666,0.0,43.75,0.0,0.0,13.04347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0
