,몰스킨 가방,메트로컬렉션-백팩 오렌지옐로우,제이리움 니트,봄/여름 코튼 래글런 라운드넥 니트 스카이블루 (프레시한 촉감),텍스쳐드 크루넥 니트 올리브 그린,델포조 블라우스,Floral detail cotton shirt,알레그리 셔츠,블루쉬 《멀티컬러체크》 오버셔츠,베스띠벨리 스커트,스트라이프 배색 트임 디테일 스커트,라빠레뜨 가방,깐느로제 미니사첼백,빈폴 액세서리 가방,아이보리 블링 라지 사첼백,슈콤마보니 구두,Jenne sling back(black),비지트 인 뉴욕 자켓,후드 체크 루즈핏자켓,에이치에스디 모자,UNISEX BLACK LOGO BALL CAP,Marie pumps(black),지고트 블라우스,플라운스 블라우스,커스텀멜로우 점퍼,casual blouson jumper,버커루 팬츠,남성용 면12수 배기 카고 팬츠 바지 ,슈레피 하이라이터,릿지 하이라이터,블루페페 코트,P191MSI003 BK,버커루 점퍼,남성 지퍼 장식 라이더점퍼,버커루 티셔츠,남성용 16수 테리배색 R넥 티셔츠 ,베네피트 하이라이터,단델리온 트윙클 하이라이터,아워글래스 하이라이터,앰비언트 라이팅 파우더,더샘 하이라이터,샘물 루미너스 멀티 하이라이터 8g,컬러팝 하이라이터,슈퍼 쇼크 치크 하이라이터 런치 머니,캔메이크 하이라이터,글로우 플로어 하이라이터,온앤온 티셔츠,레터링 컬러 티셔츠,쓰리씨이 하이라이터,Highlighter BEIGE,더밤 하이라이터,메리 루머나이저,본 코트,블랙 울 블렌딩 벨티트 포인트 세미오버핏 롱더블 트렌치코트,웻앤와일드 하이라이터,메가글로 하이라이팅 파우더,릴리바이레드 하이라이터,러브빔 글로우(하이라이터),나스 하이라이터,하이라이팅 파우더,아리따움 하이라이터,매직 컨투어링 하이라이터,에트로 선글라스,ET666SK,클리오 하이라이터,프리즘 에어 하이라이터 (1호 골드 쉬어),베카 하이라이터,쉬머링 스킨 퍼펙터 프레스드 하이라이터,코모도 니트,베이직 크루넥 니트,오프라 코스메틱 하이라이터,하이라이터 베버리 힐즈,골든듀 귀걸이,아모르드롭,로라메르시에 하이라이터,매트래디언스 베이크드 새틴하이라이터,로라겔러 하이라이터,Swirl Illuminator Diamond Dust,랑카스터 가방,카멜리아 크로스 바디 스몰,코링코 하이라이터,핑크 스퀘어 듀얼 하이라이터,샤넬 하이라이터,뿌드르 뤼미에르 글라쎄,리버클래시 수트,2019 SS LFS11209 SLIMFIT,잇미샤 원피스,페미닌 레이스 롱 원피스,베스띠벨리 가디건,모혼방 벨티드 슬릿 롱 가디건,어퓨 하이라이터,꾸뛰르 하이라이터,아크네 스튜디오 티셔츠,Logo t-shirt antique brown,앤아더스토리즈 부츠,레더 카우보이 부츠,투페이스드 하이라이터,다이아몬드 라이트 하이라이터,아크네 스튜디오 자켓,Blue Bl Konst Denim Mid Pass Jacket,톰포드 하이라이터,Sheer Highlighting Duo,토니모리 하이라이터,루미너스 여신광채 오로라이터,버켄스탁 슬리퍼,BOSTON 로즈 PINK,투쿨포스쿨 하이라이터,바이로댕 하이라이터 11g,임블리 원피스,블리프리미엄 레이스롱드레스,스틸라 하이라이터,헤븐스 휴 하이라이터 오퓰런스 10g,겔랑 하이라이터,메테오리트 홀로그래픽 파우더 9g (스프링 컬렉션),발렌시아 자켓,노카라 린넨 자켓 ,샤트렌 자켓,린넨 체크 노카라 코트,미샤(MISSHA) 하이라이터,새틴 하이라이터 이탈프리즘,바비브라운 하이라이터,Highlighting Powder - Pink Glow,KULE 티셔츠,The Boyfriend,스테파넬 티셔츠,프릴 소매 티셔츠,테드베이커 원피스,karolyn fantasia pleated midi dress,라이프워크 티셔츠,라독 프린트 반팔 티셔츠,제이에스티나 귀걸이,Viva Perla Earring(14K),스와로브스키 귀걸이,Lifelong Bow 귀걸이,모조에스핀 원피스,J192MSE039 FL1 ,노스페이스 자켓,데이 컴팩트 쉴드 자켓,플라스틱아일랜드 원피스,플랫카라 소매러플 레이스 원피스,르윗 원피스,배색 셔츠 원피스,애드호크 가디건,자켓형 가디건,비지트 인 뉴욕 팬츠,슬릿 포인트 베이직 슬랙스,베이직 원버튼 자켓,락포트 슬리퍼,토탈모션 줄리 슬립온,러드 팬츠,Wide pocket pants ivory,인디고 칠드런 셔츠,OVERSIZED STRIPE TAIL SHIRT,마노모스 안경,BEAST,랭앤루 원피스,PRETTY ROMPER(프리티 롬퍼)03,쥬크 니트,스트라이프 니트,아보아보 팬츠,BLACK SILK SLIM-LEG PANTS,아보아보 자켓,BLACK SLIM LINE DOUBLE TUXEDO JACKET,프론트로우 팬츠,[Drama Signature] Slim Bootcut Trousers_2colors,프론트로우 자켓,[Drama Signature] Slit Cuffs Tailored Blazer_CAMEL,산드로 옴므 팬츠,스타착용 바지 HAS29K7,산드로 옴므 자켓,스타착용 자켓 HKS29K7,덱케 가방,멜로디백,스틸러 선글라스,SCOPE ,클릭앤퍼니 블라우스,멜르아 핀턱블라우스,클릭앤퍼니 자켓,얼그린 트위드자켓,샤비론 자수자켓,클릭앤퍼니 청바지,분위기업 스키니진,나이키 점퍼,다운필 WR 후디 자켓,뉴발란스 운동화,CM878TCA / NBPD9S407W,뉴에라 모자,다이아몬드 메쉬 트랙 제트캡 사이버 그린,디스이즈네버댓 후드,19SS SP-INTL. Logo Hooded Sweatshirt - White,몽벨 티셔츠,[남여공용]19SS신상품 기능성 몽벨 위크론(WICRON) 라운드 티셔츠[삵],마하그리드 모자,B.B CAP[ORANGE],뉴발란스 자켓,UNI 트랙클럽 웜업자켓_40,UNI 트랙클럽 웜업자켓,UNI 트랙클럽 웜업자켓_25,아디다스 모자,코튼 6P 볼캡,나이키 운동화,에어 맥스97 서울 ,뉴발란스 티셔츠,UNI 스몰로고 맨투맨_15,UNI 스몰로고 맨투맨_19,uni 스몰로고 맨투맨_30,87mm 티셔츠,도미넌트 후드,크롭 데끼 프린팅 후드티셔츠_메란지,지프 모자,스몰로고 볼캡,레이첼 콕스 구두,Luu,커버낫 팬츠,C LOGO TRACK JOGGER PANTS BLACK,C LOGO CREWNECK CORAL RED,프랭크커스텀 안경,FA6154 col.2,아이코닉,페이유에 운동화,PLAIN II PLATFORM / WHITE / F29005W,옐로우비 안경,O/P-001 col.02,반스 단화,올드스쿨 블랙
0,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,31.81818,0.0,57.76566,75.0,0.0,0.0,87.96992,0.0,78.57142,0.0,0.0,0.0,0.0,81.33802,0.0,60.60606,0.0,0.0,0.0,0.0,14.32038,61.90476,0.0,83.40611,0.0,54.45859,0.0,78.75,0.0,68.75,0.0,56.25,0.0,90.90909,0.0,51.11111,0.0,42.22222,0.0,0.0,0.0,80.55555,0.0,53.57142,0.0,44.82758,0.0,76.19047,0.0,45.71428,0.0,39.53488,0.0,21.42857,0.0,63.68421,0.0,50.39682,0.0,76.74418,0.0,0.0,0.0,100.0,0.0,59.11111,0.0,0.0,0.0,19.15422,0.0,0.0,0.0,44.86301,0.0,0.0,0.0,45.6,0.0,0.0,0.0,20.83333,0.0,16.66666,0.0,0.0,0.0,42.5,0.0,7.23684,0.0,0.0,0.0,95.83333,0.0,17.88321,0.0,68.37209,0.0,67.53246,0.0,71.98697,0.0,63.41463,0.0,64.81481,5.39419,52.43902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7377,30.0,21.49532,0.0,0.0,0.0,81.15468,0.0,77.12062,0.0,95.37465,0.0,100.0,0.0,34.55252,0.0,20.68965,0.0,0.0,70.96774,100.0,0.0,0.0,39.0909,0.0,0.0,0.0,0.0,0.0,15.625,75.73221,35.0909,0.0,100.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,48.30097,0.0,20.28985,82.81461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.75457,0.0,68.80924,0.0,65.53825,0.0,70.0,0.0,8.98876,0.0,0.0,0.0,58.82352,0.0,100.0,0.0,55.56844,0.0,69.77533,89.47368,32.14862,0.0,0.0,0.0,0.0,0.0,0.0,51.00671,0.0,64.28571,0.0,0.0,0.0,0.0,73.33333,0.0,49.53703,0.0,0.0,0.0,0.0,70.35175,66.66666
1,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,38.09523,0.0,45.45454,0.0,87.46594,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,68.66197,0.0,100.0,0.0,0.0,0.0,0.0,18.4466,76.19047,0.0,100.0,0.0,70.70063,0.0,81.25,0.0,81.25,0.0,68.75,0.0,0.0,0.0,55.55555,0.0,44.0,0.0,0.0,0.0,77.77777,0.0,100.0,0.0,44.82758,0.0,76.19047,0.0,82.85714,0.0,26.74418,0.0,39.28571,0.0,65.78947,0.0,58.33333,0.0,88.37209,0.0,0.0,0.0,80.23715,0.0,65.55555,0.0,0.0,0.0,13.18407,0.0,0.0,0.0,38.69863,0.0,0.0,0.0,88.20869,86.66666,55.0,0.0,18.75,0.0,8.88888,0.0,0.0,0.0,52.5,0.0,5.92105,0.0,0.0,0.0,93.75,0.0,26.00364,0.0,57.67441,0.0,72.72727,0.0,59.93485,0.0,36.58536,0.0,83.33333,4.56431,62.80487,0.0,0.0,0.0,1.55963,0.0,0.0,0.0,57.37704,25.0,36.44859,0.0,0.0,0.0,95.6427,0.0,93.22957,0.0,95.28214,0.0,75.1445,0.0,32.52918,0.0,24.13793,0.0,0.0,64.51612,85.71428,0.0,0.0,42.72727,0.0,0.0,0.0,0.0,0.0,25.0,71.54811,40.18181,0.0,76.92307,64.92537,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,94.53883,0.0,19.71014,98.24086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.97069,0.0,63.80331,0.0,72.03791,0.0,86.66666,0.0,16.85393,0.0,0.0,0.0,77.20588,0.0,64.70588,0.0,62.41299,0.0,83.6885,37.89473,44.91114,0.0,0.0,0.0,0.0,0.0,0.0,84.56375,0.0,52.38095,0.0,0.0,0.0,0.0,60.0,0.0,45.37037,0.0,0.0,0.0,0.0,66.33165,41.66666
2,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0,36.36363,0.0,76.83923,62.5,0.0,0.0,86.09022,0.0,41.42857,0.0,0.0,0.0,0.0,53.52112,0.0,72.72727,0.0,0.0,0.0,0.0,14.5631,100.0,0.0,66.81222,0.0,53.50318,0.0,66.25,0.0,31.25,0.0,60.41666,0.0,0.0,0.0,53.33333,0.0,39.55555,0.0,0.0,0.0,52.77777,0.0,82.14285,0.0,41.37931,0.0,61.90476,0.0,72.85714,0.0,27.90697,0.0,40.47619,0.0,62.10526,0.0,53.96825,0.0,83.72093,0.0,0.0,0.0,77.47035,100.0,69.11111,0.0,0.0,0.0,14.92537,0.0,0.0,0.0,39.38356,0.0,71.42857,0.0,100.0,86.66666,30.0,0.0,16.66666,0.0,8.88888,0.0,0.0,0.0,46.25,0.0,5.92105,0.0,5.55555,0.0,77.08333,0.0,23.72262,0.0,50.69767,0.0,93.50649,0.0,77.52442,0.0,17.07317,0.0,68.51851,10.78838,69.51219,0.0,0.0,0.0,0.45871,0.0,0.0,0.0,45.90163,25.0,26.63551,0.0,0.0,0.0,96.07843,0.0,88.71595,0.0,84.27382,0.0,65.31791,0.0,33.77431,0.0,22.41379,0.0,0.0,45.16129,0.0,0.0,0.0,30.90909,0.0,0.0,0.0,0.0,0.0,15.625,78.66108,42.72727,0.0,71.79487,75.37313,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,70.38834,0.0,49.27536,88.49797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.33699,0.0,73.81516,0.0,91.33378,0.0,60.0,0.0,31.46067,0.0,0.0,0.0,100.0,0.0,82.35294,0.0,85.20881,0.0,99.01033,35.78947,57.67366,0.0,0.0,0.0,0.0,0.0,0.0,76.51006,0.0,54.7619,85.71428,0.0,0.0,0.0,84.0,0.0,45.52469,0.0,0.0,0.0,0.0,72.86432,58.33333
3,46.66666,0.0,71.42857,0.0,0.0,0.0,0.0,47.61904,0.0,54.54545,0.0,65.94005,0.0,0.0,0.0,81.95488,0.0,40.0,0.0,0.0,0.0,0.0,67.95774,0.0,54.54545,0.0,0.0,0.0,0.0,18.68932,90.47619,0.0,68.55895,0.0,58.91719,0.0,86.25,0.0,31.25,0.0,100.0,0.0,0.0,0.0,68.88888,0.0,42.88888,0.0,0.0,0.0,69.44444,0.0,67.85714,0.0,65.51724,0.0,61.90476,0.0,67.14285,0.0,27.90697,0.0,40.47619,0.0,55.26315,0.0,57.53968,0.0,58.13953,0.0,0.0,0.0,64.03162,0.0,55.55555,0.0,0.0,0.0,17.16417,0.0,0.0,0.0,48.63013,0.0,0.0,0.0,73.3913,46.66666,40.0,0.0,31.25,0.0,12.22222,0.0,0.0,0.0,52.5,0.0,4.60526,0.0,0.0,0.0,72.91666,0.0,24.72627,0.0,59.06976,0.0,54.54545,0.0,76.22149,0.0,73.17073,0.0,77.77777,14.10788,80.4878,0.0,0.0,0.0,1.00917,0.0,0.0,0.0,49.18032,0.0,31.7757,0.0,0.0,0.0,97.05882,0.0,88.79377,0.0,78.90841,0.0,56.64739,0.0,35.87548,0.0,24.13793,0.0,0.0,70.96774,0.0,0.0,0.0,24.54545,0.0,0.0,0.0,0.0,0.0,39.0625,69.45606,100.0,0.0,53.84615,72.38805,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,65.77669,0.0,42.60869,81.46143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45787,0.0,90.75829,0.0,75.08463,0.0,53.33333,0.0,18.53932,0.0,0.0,0.0,78.67647,0.0,94.11764,0.0,68.73549,0.0,87.97948,36.8421,49.11147,0.0,0.0,0.0,0.0,0.0,0.0,68.45637,0.0,95.23809,0.0,0.0,0.0,0.0,85.33333,0.0,53.24074,83.33333,0.0,0.0,0.0,78.39195,58.33333
4,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,80.95238,0.0,50.0,0.0,81.74386,100.0,0.0,0.0,82.33082,0.0,55.71428,0.0,0.0,0.0,0.0,62.32394,0.0,30.30303,0.0,0.0,0.0,0.0,21.1165,66.66666,0.0,72.0524,0.0,44.90445,0.0,81.25,0.0,81.25,0.0,79.16666,0.0,0.0,0.0,73.33333,0.0,34.44444,0.0,0.0,0.0,47.22222,0.0,71.42857,0.0,100.0,0.0,61.90476,0.0,70.0,0.0,26.74418,0.0,27.38095,0.0,85.78947,0.0,70.23809,0.0,44.18604,0.0,0.0,0.0,66.79841,0.0,72.88888,0.0,0.0,0.0,17.91044,0.0,0.0,0.0,32.53424,0.0,0.0,0.0,59.96521,0.0,0.0,0.0,47.91666,0.0,42.22222,0.0,0.0,0.0,42.5,0.0,100.0,0.0,7.77777,0.0,70.83333,0.0,18.52189,0.0,53.95348,0.0,71.42857,0.0,90.22801,0.0,51.21951,0.0,64.81481,9.54356,71.95121,0.0,0.0,0.0,0.45871,0.0,0.0,0.0,49.18032,0.0,20.56074,0.0,0.0,0.0,94.33551,0.0,82.72373,0.0,68.82516,0.0,57.80346,0.0,42.41245,0.0,33.62068,0.0,0.0,77.41935,0.0,0.0,0.0,32.72727,0.0,0.0,0.0,0.0,0.0,34.375,60.25104,55.0909,0.0,38.46153,57.46268,0.0,0.0,0.0,0.0,62.5,0.0,80.0,0.0,0.0,0.0,0.0,0.0,98.05825,0.0,26.08695,74.56021,0.0,0.0,80.0,0.0,0.0,0.0,0.0,73.26007,0.0,99.67417,0.0,72.24102,0.0,80.0,0.0,23.0337,0.0,0.0,0.0,53.67647,0.0,0.0,0.0,60.61484,0.0,83.29841,31.57894,42.00323,0.0,0.0,0.0,0.0,0.0,0.0,63.75838,0.0,85.71428,100.0,0.0,0.0,0.0,57.33333,0.0,60.95679,58.33333,0.0,0.0,0.0,61.30653,50.0
5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,52.38095,0.0,54.54545,0.0,78.20163,0.0,0.0,0.0,66.54135,0.0,40.0,0.0,0.0,0.0,0.0,45.42253,0.0,33.33333,0.0,0.0,0.0,0.0,20.63106,57.14285,0.0,58.0786,0.0,43.63057,0.0,85.0,0.0,31.25,0.0,77.08333,0.0,0.0,0.0,86.66666,0.0,41.33333,0.0,0.0,0.0,63.88888,0.0,42.85714,0.0,68.96551,0.0,38.09523,0.0,61.42857,0.0,39.53488,0.0,20.23809,0.0,67.89473,0.0,66.66666,0.0,37.2093,0.0,71.42857,0.0,68.37944,0.0,68.22222,0.0,0.0,0.0,16.16915,0.0,0.0,0.0,52.73972,0.0,0.0,0.0,50.57391,60.0,0.0,0.0,20.83333,0.0,17.77777,0.0,0.0,0.0,41.25,0.0,53.94736,0.0,0.0,0.0,93.75,0.0,24.17883,0.0,79.53488,0.0,80.51948,0.0,100.0,0.0,63.41463,0.0,42.59259,13.278,79.26829,0.0,0.0,0.0,0.6422,0.0,0.0,0.0,47.54098,0.0,20.09345,0.0,0.0,0.0,92.91938,0.0,81.40077,0.0,63.08973,0.0,65.89595,0.0,47.93774,0.0,22.41379,0.0,0.0,61.29032,0.0,0.0,0.0,25.45454,0.0,0.0,0.0,0.0,0.0,67.1875,56.48535,74.36363,0.0,43.58974,44.77611,0.0,0.0,30.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,57.14285,0.0,83.0097,0.0,26.95652,38.56562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.45787,0.0,78.13981,0.0,66.82464,0.0,40.0,0.0,23.5955,0.0,0.0,0.0,55.14705,0.0,0.0,0.0,53.88631,0.0,80.90009,32.63157,36.34894,0.0,0.0,0.0,0.0,0.0,0.0,78.52348,0.0,73.80952,100.0,0.0,0.0,0.0,69.33333,0.0,49.07407,50.0,0.0,0.0,0.0,68.3417,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14285,0.0,31.81818,0.0,88.01089,0.0,0.0,0.0,72.18045,0.0,50.71428,0.0,0.0,0.0,0.0,59.85915,0.0,21.21212,0.0,0.0,0.0,0.0,32.03883,52.38095,0.0,53.71179,0.0,36.6242,0.0,73.75,0.0,43.75,0.0,58.33333,0.0,0.0,0.0,44.44444,0.0,42.44444,0.0,0.0,0.0,58.33333,0.0,64.28571,0.0,44.82758,0.0,47.61904,0.0,51.42857,0.0,43.02325,0.0,29.7619,0.0,73.68421,0.0,69.44444,0.0,51.16279,0.0,0.0,0.0,60.86956,0.0,62.66666,0.0,0.0,0.0,16.16915,0.0,0.0,0.0,40.06849,0.0,0.0,0.0,48.17391,0.0,0.0,0.0,18.75,0.0,23.33333,0.0,0.0,0.0,93.75,0.0,53.94736,0.0,6.66666,0.0,95.83333,0.0,21.16788,0.0,61.86046,0.0,68.83116,0.0,86.31921,0.0,41.46341,0.0,79.62962,11.61825,63.41463,0.0,0.0,0.0,1.10091,0.0,0.0,0.0,42.62295,0.0,19.15887,0.0,0.0,0.0,83.98692,0.0,77.66536,0.0,69.10268,0.0,77.45664,0.0,45.91439,0.0,21.55172,100.0,0.0,100.0,0.0,0.0,0.0,30.90909,0.0,0.0,0.0,0.0,0.0,73.4375,59.41422,59.45454,0.0,46.15384,41.79104,0.0,0.0,35.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,28.57142,0.0,79.00485,0.0,28.9855,44.3843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.23076,0.0,74.28909,0.0,66.89234,0.0,23.33333,0.0,11.79775,0.0,60.0,0.0,58.82352,0.0,35.29411,0.0,55.27842,0.0,79.71537,73.68421,34.57189,0.0,0.0,0.0,0.0,0.0,0.0,53.02013,0.0,69.04761,0.0,0.0,0.0,0.0,100.0,0.0,66.66666,0.0,0.0,0.0,0.0,62.31155,41.66666
7,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272,0.0,69.2098,0.0,0.0,0.0,84.58646,0.0,61.42857,0.0,0.0,0.0,0.0,71.83098,55.0,54.54545,0.0,0.0,0.0,0.0,41.01941,57.14285,0.0,68.99563,0.0,63.69426,0.0,71.25,0.0,37.5,0.0,60.41666,0.0,0.0,0.0,37.77777,0.0,51.33333,0.0,0.0,0.0,44.44444,0.0,78.57142,0.0,62.06896,0.0,57.14285,0.0,52.85714,0.0,69.76744,0.0,27.38095,0.0,70.0,0.0,82.53968,0.0,100.0,0.0,0.0,0.0,63.2411,0.0,58.44444,0.0,100.0,0.0,16.41791,0.0,0.0,0.0,59.58904,0.0,0.0,0.0,69.35652,100.0,40.0,0.0,39.58333,0.0,17.77777,0.0,0.0,0.0,68.75,0.0,26.97368,0.0,15.55555,0.0,52.08333,0.0,20.9854,0.0,46.97674,0.0,61.03896,0.0,76.87296,0.0,34.14634,0.0,64.81481,19.08713,71.34146,0.0,0.0,0.0,0.6422,0.0,0.0,0.0,70.4918,50.0,31.7757,0.0,0.0,0.0,80.50108,0.0,86.14785,0.0,79.83348,0.0,98.84393,0.0,40.3891,0.0,20.68965,0.0,0.0,54.8387,0.0,0.0,0.0,37.27272,0.0,0.0,0.0,0.0,0.0,100.0,58.15899,61.81818,0.0,89.74358,58.20895,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,23.80952,0.0,63.10679,0.0,20.57971,92.28687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.21245,0.0,64.89928,0.0,56.73662,0.0,46.66666,0.0,10.11235,0.0,80.0,0.0,57.35294,0.0,0.0,0.0,56.49651,0.0,73.39449,43.15789,38.77221,0.0,0.0,0.0,0.0,0.0,0.0,62.4161,0.0,73.80952,0.0,0.0,0.0,0.0,64.0,0.0,64.81481,0.0,0.0,0.0,0.0,58.29145,41.66666
8,46.66666,0.0,0.0,0.0,0.0,0.0,0.0,42.85714,0.0,63.63636,0.0,60.21798,0.0,0.0,0.0,98.49624,0.0,62.85714,0.0,0.0,0.0,0.0,55.98591,0.0,51.51515,0.0,0.0,0.0,71.42857,65.04854,61.90476,0.0,97.37991,0.0,66.87898,0.0,86.25,0.0,68.75,0.0,43.75,0.0,0.0,0.0,33.33333,0.0,51.33333,0.0,0.0,0.0,30.55555,0.0,100.0,0.0,37.93103,0.0,71.42857,0.0,52.85714,0.0,45.34883,0.0,44.04761,0.0,81.05263,0.0,66.66666,0.0,81.39534,0.0,0.0,0.0,69.96047,0.0,75.77777,0.0,0.0,0.0,16.41791,0.0,0.0,0.0,38.35616,0.0,85.71428,0.0,68.24347,60.0,25.0,0.0,18.75,0.0,20.0,0.0,0.0,0.0,58.75,0.0,26.31578,0.0,0.0,0.0,87.5,0.0,25.9124,0.0,52.09302,0.0,45.45454,0.0,88.92508,0.0,56.09756,0.0,64.81481,21.9917,84.14634,0.0,0.0,0.0,58.80733,0.0,0.0,0.0,42.62295,0.0,38.78504,0.0,0.0,0.0,100.0,0.0,93.85214,0.0,94.54209,0.0,81.50289,0.0,40.77821,0.0,18.96551,77.77777,0.0,45.16129,0.0,0.0,0.0,38.18181,0.0,0.0,0.0,0.0,0.0,84.375,65.27196,52.72727,0.0,28.20512,64.92537,0.0,0.0,30.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,63.22815,0.0,31.01449,93.09878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.98168,0.0,61.61137,0.0,69.53283,0.0,63.33333,0.0,26.96629,0.0,50.0,0.0,69.85294,0.0,41.17647,0.0,68.21345,0.0,84.25196,100.0,43.45718,0.0,0.0,0.0,0.0,0.0,0.0,71.14093,0.0,66.66666,0.0,0.0,0.0,0.0,72.0,0.0,45.21604,0.0,0.0,0.0,0.0,66.83417,41.66666
9,53.33333,0.0,0.0,0.0,0.0,0.0,0.0,66.66666,0.0,0.0,0.0,73.02452,87.5,0.0,0.0,83.0827,0.0,55.71428,0.0,0.0,0.0,0.0,69.36619,0.0,39.39393,0.0,0.0,0.0,0.0,61.40776,57.14285,0.0,82.53275,0.0,54.45859,0.0,72.5,0.0,56.25,0.0,56.25,0.0,54.54545,0.0,48.88888,0.0,44.22222,0.0,0.0,0.0,36.11111,0.0,57.14285,0.0,31.03448,0.0,80.95238,0.0,40.0,0.0,44.18604,0.0,45.23809,0.0,74.21052,0.0,76.98412,0.0,51.16279,0.0,0.0,0.0,54.94071,0.0,74.44444,0.0,0.0,0.0,19.65174,0.0,0.0,0.0,40.06849,0.0,0.0,0.0,60.13913,0.0,25.0,0.0,31.25,0.0,26.66666,0.0,0.0,0.0,52.5,0.0,20.39473,0.0,0.0,0.0,89.58333,0.0,24.81751,0.0,100.0,0.0,58.44155,0.0,94.1368,0.0,48.78048,0.0,81.48148,28.6307,89.02439,0.0,0.0,0.0,100.0,0.0,0.0,0.0,37.70491,0.0,31.30841,0.0,0.0,0.0,97.16775,0.0,84.66926,0.0,68.91766,0.0,73.98843,0.0,37.66536,0.0,12.06896,0.0,0.0,74.19354,0.0,0.0,0.0,42.72727,0.0,0.0,0.0,0.0,0.0,71.875,64.01673,55.63636,0.0,53.84615,58.95522,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,61.16504,0.0,23.76811,90.93369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,81.13151,0.0,85.37576,0.0,33.33333,0.0,37.07865,0.0,0.0,0.0,89.70588,0.0,64.70588,0.0,80.62645,0.0,94.25702,41.05263,65.58966,0.0,0.0,0.0,0.0,0.0,0.0,90.60402,0.0,76.19047,0.0,0.0,0.0,0.0,76.0,0.0,52.62345,0.0,0.0,0.0,0.0,75.37688,41.66666
