,슈에무라 하드 포뮬라_0,슈에무라 하드 포뮬라_1,슈에무라 하드 포뮬라_2,아나스타샤 베버리힐즈 브로우 위즈_0,아나스타샤 베버리힐즈 브로우 위즈_1,아나스타샤 베버리힐즈 브로우 위즈_2,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_0,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_1,아이돈띵쏘 하드 스퀘어 아이브로우 펜슬_2,아리따움 아이돌 브로우 파우더 케익_0,아리따움 아이돌 브로우 파우더 케익_1,아리따움 아이돌 브로우 파우더 케익_2,베네피트 프리사이슬리 마이 브로우 펜슬_0,베네피트 프리사이슬리 마이 브로우 펜슬_1,베네피트 프리사이슬리 마이 브로우 펜슬_2,라네즈 아이브로우 쿠션 카라_0,라네즈 아이브로우 쿠션 카라_1,라네즈 아이브로우 쿠션 카라_2,클리오 킬 브로우 오토 하드 브로우 펜슬_0,클리오 킬 브로우 오토 하드 브로우 펜슬_1,클리오 킬 브로우 오토 하드 브로우 펜슬_2,키스미 헤비로테이션 컬러링 아이브로우_0,키스미 헤비로테이션 컬러링 아이브로우_1,키스미 헤비로테이션 컬러링 아이브로우_2,베네피트 구프 프루프 브로우 펜슬_0,베네피트 구프 프루프 브로우 펜슬_1,베네피트 구프 프루프 브로우 펜슬_2,아나스타샤 베버리힐즈 딥브로우 포마드_0,아나스타샤 베버리힐즈 딥브로우 포마드_1,아나스타샤 베버리힐즈 딥브로우 포마드_2,아이오페 아이브로우 오토 펜슬_0,아이오페 아이브로우 오토 펜슬_1,아이오페 아이브로우 오토 펜슬_2
0,44.57335,86.3372,69.25892,0.0,0.0,0.0,0.0,0.0,0.0,2.65486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.875,0.0,0.0,43.75,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49.77544,81.29844,77.8591,0.0,0.0,0.0,0.0,0.0,0.0,5.30973,0.0,0.0,0.0,0.0,38.0,6.7729,0.0,0.0,31.25,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,61.07784,80.81395,62.58005,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,4.78087,0.0,0.0,75.0,0.0,22.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,66.91616,80.81395,62.39707,0.0,0.0,0.0,0.0,0.0,0.0,15.04424,0.0,0.0,0.0,0.0,18.0,8.76494,0.0,0.0,75.0,15.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.42857,0.0,0.0
4,70.95808,90.31007,65.2333,0.0,0.0,0.0,0.0,0.0,0.0,22.12389,0.0,0.0,0.0,0.0,16.0,11.15537,0.0,0.0,100.0,40.625,0.0,0.0,41.17647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,61.33982,87.4031,64.22689,0.0,0.0,0.0,0.0,0.0,0.0,19.02654,0.0,0.0,0.0,0.0,0.0,56.5737,0.0,0.0,87.5,21.875,100.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
6,64.93263,81.97674,56.17566,0.0,0.0,0.0,0.0,0.0,0.0,7.52212,0.0,0.0,0.0,41.66666,0.0,60.55776,0.0,0.0,87.5,25.0,34.28571,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,71.48203,84.88372,68.52698,0.0,0.0,0.0,0.0,0.0,0.0,8.40707,0.0,0.0,0.0,0.0,0.0,84.06374,0.0,0.0,81.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88888,0.0,0.0,0.0,0.0,0.0,0.0
8,91.69161,84.49612,66.88014,0.0,0.0,0.0,0.0,0.0,0.0,11.50442,0.0,0.0,0.0,0.0,12.0,100.0,0.0,0.0,71.875,50.0,0.0,31.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,92.25299,78.39147,64.95882,100.0,0.0,0.0,0.0,0.0,0.0,15.04424,0.0,0.0,0.0,0.0,20.0,84.46215,0.0,0.0,59.375,34.375,22.85714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
